Date,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_hours (h),wind_speed_10m_max (m/s),wind_gusts_10m_max (m/s),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),unknown_discharge (m³/s),Kushi_discharge (m³/s),Longai_discharge (m³/s),Singla_discharge (m³/s),pressure_msl (hPa),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),flooded
2015-01-01,26.5,18.6,22.3,1.2,7,1.43,3.8,65,1.73,477.63,646.14,46.64,2.37,1015.7,0.244,0.279,0.319,0.456,0
2015-01-02,27.6,18.3,22.5,0.0,0,1.88,5.0,28,2.76,475.43,643.17,46.42,2.36,1015.9,0.249,0.279,0.319,0.455,0
2015-01-03,27.5,17.9,22.9,0.0,0,1.96,4.6,22,2.69,474.34,640.21,46.21,2.34,1014.7,0.248,0.279,0.318,0.455,0
2015-01-04,25.2,18.7,21.3,4.7,8,3.24,7.6,285,2.21,466.74,598.79,46.21,2.33,1012.5,0.277,0.279,0.318,0.455,0
2015-01-05,22.7,13.7,18.3,0.2,2,3.28,8.4,293,2.37,465.66,574.44,46.1,2.33,1013.1,0.321,0.279,0.318,0.454,0
2015-01-06,22.5,13.0,17.9,0.0,0,2.16,4.3,292,2.52,464.59,566.54,45.99,2.31,1013.6,0.313,0.28,0.318,0.454,0
2015-01-07,23.0,12.2,17.2,0.0,0,2.2,4.0,322,2.65,462.45,562.64,45.67,2.3,1013.6,0.306,0.28,0.318,0.454,0
2015-01-08,23.8,12.0,17.8,0.0,0,2.3,4.1,239,2.69,460.32,558.76,45.56,2.28,1013.7,0.299,0.28,0.317,0.453,0
2015-01-09,20.7,12.9,16.6,0.4,2,1.77,4.8,106,2.16,459.26,554.9,45.34,2.27,1014.6,0.301,0.28,0.317,0.453,0
2015-01-10,22.9,11.9,16.9,0.0,0,2.1,5.0,38,2.59,451.9,532.33,44.92,2.24,1016.1,0.299,0.28,0.317,0.453,0
2015-01-11,24.0,11.7,17.4,0.0,0,2.16,4.8,351,2.84,446.71,515.42,44.71,2.22,1016.4,0.292,0.28,0.317,0.452,0
2015-01-12,26.8,11.5,19.0,0.0,0,3.26,7.6,62,3.37,444.66,505.99,44.5,2.21,1015.4,0.286,0.28,0.316,0.452,0
2015-01-13,25.7,11.8,18.1,0.0,0,2.47,6.1,55,3.12,442.61,499.03,44.29,2.18,1015.1,0.281,0.28,0.316,0.451,0
2015-01-14,26.1,13.0,18.9,0.0,0,2.14,4.9,40,2.94,445.68,522.6,44.19,2.17,1015.8,0.277,0.28,0.315,0.451,0
2015-01-15,26.8,13.1,19.4,0.0,0,2.12,4.7,36,3.15,445.68,537.27,43.98,2.16,1015.5,0.273,0.28,0.314,0.451,0
2015-01-16,27.1,13.5,19.6,0.0,0,2.33,5.1,31,3.18,444.66,537.27,43.87,2.14,1014.7,0.269,0.279,0.314,0.45,0
2015-01-17,26.2,13.9,19.6,0.0,0,2.86,6.2,7,2.91,444.66,543.5,43.77,2.13,1014.3,0.267,0.279,0.314,0.45,0
2015-01-18,23.1,13.2,17.9,0.2,1,1.84,5.9,50,2.59,443.63,543.5,43.67,2.13,1015.4,0.27,0.279,0.313,0.449,0
2015-01-19,23.0,12.7,17.7,0.2,2,2.01,4.8,27,2.55,442.61,541.0,43.46,2.11,1016.7,0.272,0.279,0.313,0.449,0
2015-01-20,25.0,12.8,18.4,0.0,0,2.15,4.5,358,2.98,443.63,543.5,43.36,2.09,1018.2,0.269,0.279,0.313,0.449,0
2015-01-21,26.5,12.2,18.9,0.0,0,2.22,4.5,357,3.11,443.63,546.02,43.26,2.09,1019.1,0.266,0.279,0.312,0.448,0
2015-01-22,26.0,11.9,19.1,0.0,0,2.14,4.5,12,3.13,442.61,544.76,43.16,2.08,1017.7,0.263,0.279,0.312,0.448,0
2015-01-23,24.7,13.3,18.8,0.0,0,2.15,4.3,353,2.91,441.59,543.5,43.06,2.08,1015.4,0.26,0.279,0.311,0.448,0
2015-01-24,24.8,13.5,18.8,0.0,0,2.1,4.4,4,3.18,440.57,542.25,42.95,2.06,1017.0,0.258,0.279,0.311,0.447,0
2015-01-25,24.3,11.9,18.0,0.0,0,2.15,4.5,358,3.16,439.55,539.75,42.75,2.05,1017.8,0.256,0.279,0.31,0.447,0
2015-01-26,25.3,11.9,18.2,0.0,0,2.44,4.8,9,3.25,438.54,537.27,42.65,2.05,1016.7,0.254,0.279,0.31,0.446,0
2015-01-27,25.4,11.9,18.8,0.0,0,2.19,4.6,359,3.28,438.54,536.03,42.55,2.03,1014.9,0.252,0.279,0.309,0.446,0
2015-01-28,25.5,12.9,19.2,0.0,0,2.2,5.5,336,3.23,437.53,533.56,42.45,2.03,1014.3,0.25,0.279,0.309,0.446,0
2015-01-29,26.1,13.8,20.3,0.0,0,3.14,6.1,302,3.28,436.52,531.11,42.35,2.0,1015.4,0.248,0.279,0.309,0.445,0
2015-01-30,24.0,12.8,18.8,0.0,0,3.6,9.7,301,2.98,438.54,543.5,42.35,2.0,1016.2,0.247,0.279,0.308,0.445,0
2015-01-31,22.2,10.6,16.1,0.0,0,2.39,4.3,336,3.24,440.57,549.81,42.25,2.0,1017.5,0.246,0.279,0.308,0.444,0
2015-02-01,24.1,10.8,16.9,0.0,0,2.51,4.4,348,3.35,439.55,548.54,42.25,2.0,1016.9,0.245,0.279,0.307,0.444,0
2015-02-02,26.4,11.1,18.2,0.0,0,2.57,4.5,350,3.5,438.54,546.02,42.25,2.0,1018.4,0.244,0.279,0.307,0.444,0
2015-02-03,27.1,11.3,18.9,0.0,0,2.38,4.5,12,3.61,438.54,544.76,42.15,1.97,1019.2,0.243,0.279,0.306,0.443,0
2015-02-04,26.1,11.4,19.0,0.0,0,2.01,5.0,37,3.55,437.53,543.5,42.05,1.97,1017.4,0.243,0.279,0.306,0.443,0
2015-02-05,26.5,12.1,19.1,0.0,0,2.31,5.5,27,3.61,436.52,542.25,41.95,1.97,1016.8,0.242,0.279,0.305,0.442,0
2015-02-06,25.8,11.9,18.8,0.0,0,2.1,5.5,6,3.61,436.52,542.25,41.85,1.97,1016.6,0.242,0.279,0.305,0.442,0
2015-02-07,25.2,11.5,18.1,0.0,0,2.38,4.4,359,3.65,430.52,538.51,41.36,1.94,1015.5,0.241,0.279,0.304,0.442,0
2015-02-08,25.7,11.1,18.8,0.0,0,2.09,4.7,16,3.56,422.64,529.88,40.98,1.9,1016.0,0.241,0.279,0.304,0.441,0
2015-02-09,26.5,12.6,19.8,0.0,0,2.45,5.8,352,3.64,418.76,521.4,40.88,1.88,1016.8,0.241,0.279,0.303,0.441,0
2015-02-10,26.2,14.1,20.0,0.0,0,2.33,6.3,331,3.41,417.79,520.19,40.78,1.88,1016.6,0.241,0.279,0.303,0.44,0
2015-02-11,26.0,13.2,19.4,0.0,0,2.5,6.1,337,3.52,417.79,519.0,40.69,1.88,1015.2,0.241,0.279,0.303,0.44,0
2015-02-12,25.9,13.0,20.0,0.0,0,2.3,5.2,297,3.66,416.83,517.8,40.59,1.84,1013.1,0.24,0.279,0.302,0.44,0
2015-02-13,25.4,12.9,19.1,0.0,0,3.8,8.6,349,3.79,415.87,516.61,40.5,1.84,1012.7,0.241,0.278,0.302,0.439,0
2015-02-14,25.1,12.2,18.8,0.0,0,2.26,5.6,39,3.85,415.87,515.42,40.4,1.84,1012.9,0.241,0.278,0.301,0.439,0
2015-02-15,25.4,13.4,19.5,0.2,1,2.0,5.5,52,3.31,415.87,517.8,40.4,1.84,1014.2,0.241,0.278,0.301,0.438,0
2015-02-16,27.3,13.9,20.4,0.0,0,2.24,6.1,49,3.87,414.91,515.42,40.3,1.84,1014.6,0.242,0.278,0.301,0.438,0
2015-02-17,28.1,14.2,20.9,0.0,0,2.24,4.7,14,3.98,414.91,511.86,40.3,1.84,1012.7,0.241,0.278,0.3,0.438,0
2015-02-18,27.4,14.2,21.9,0.4,2,1.91,4.7,359,3.73,417.79,520.19,40.4,1.84,1012.7,0.241,0.278,0.3,0.437,0
2015-02-19,24.6,15.3,19.7,3.2,5,1.98,8.8,22,2.51,419.73,529.88,40.4,1.84,1014.4,0.255,0.278,0.3,0.437,0
2015-02-20,26.6,14.9,21.0,0.1,1,2.64,6.1,26,3.49,418.76,528.66,40.4,1.84,1014.2,0.255,0.278,0.299,0.437,0
2015-02-21,27.3,15.1,21.7,2.6,3,3.01,7.2,357,3.76,418.76,529.88,40.5,1.84,1012.7,0.254,0.278,0.299,0.436,0
2015-02-22,25.5,15.8,20.5,7.1,3,2.93,6.8,63,2.81,408.26,525.02,39.74,1.78,1014.4,0.322,0.278,0.299,0.436,0
2015-02-23,28.4,15.5,22.0,0.0,0,2.79,5.6,46,4.03,391.65,504.82,39.09,1.75,1013.9,0.31,0.279,0.299,0.436,0
2015-02-24,27.3,16.5,22.5,0.0,0,2.09,6.4,31,3.23,384.48,492.17,38.81,1.72,1012.3,0.299,0.279,0.298,0.435,0
2015-02-25,29.1,17.7,24.2,0.0,0,2.15,5.4,33,3.84,382.71,484.29,38.63,1.69,1010.1,0.29,0.279,0.298,0.435,0
2015-02-26,27.8,19.9,23.6,1.0,8,2.01,5.9,22,3.17,380.94,480.95,38.45,1.69,1009.8,0.289,0.279,0.298,0.434,0
2015-02-27,28.4,19.7,23.6,0.3,2,2.51,9.5,343,3.43,381.82,479.84,38.54,1.69,1011.2,0.295,0.279,0.298,0.434,0
2015-02-28,30.1,19.2,24.5,0.0,0,1.87,7.5,38,3.89,384.48,478.73,38.63,1.69,1012.8,0.29,0.279,0.297,0.434,0
2015-03-01,32.8,19.0,25.8,0.0,0,3.09,6.6,352,4.44,384.48,479.84,38.54,1.69,1012.8,0.282,0.279,0.297,0.433,0
2015-03-02,31.5,19.1,25.4,0.0,0,3.88,9.0,282,4.41,383.59,478.73,38.54,1.69,1012.1,0.275,0.279,0.296,0.433,0
2015-03-03,30.1,19.4,24.5,0.0,0,4.87,11.3,273,4.71,382.71,476.53,38.45,1.69,1010.1,0.269,0.279,0.296,0.432,0
2015-03-04,22.9,15.6,19.0,8.0,10,2.42,5.9,29,1.09,391.65,491.04,39.46,1.75,1012.5,0.318,0.279,0.296,0.432,0
2015-03-05,25.9,14.7,20.2,0.0,0,2.06,6.3,17,3.58,398.94,502.5,39.83,1.75,1014.2,0.33,0.279,0.296,0.432,0
2015-03-06,27.2,14.2,20.6,0.0,0,2.71,6.2,304,4.54,397.11,499.03,39.46,1.75,1014.3,0.311,0.279,0.296,0.432,0
2015-03-07,28.2,13.6,21.1,0.0,0,2.72,6.3,3,4.64,394.37,492.17,39.18,1.75,1013.7,0.295,0.279,0.295,0.431,0
2015-03-08,30.2,15.0,22.7,0.0,0,2.47,5.5,353,4.69,391.65,486.53,38.99,1.75,1014.2,0.284,0.279,0.295,0.431,0
2015-03-09,32.2,15.9,24.3,0.0,0,2.97,6.1,310,4.96,389.84,483.17,38.9,1.75,1014.4,0.276,0.279,0.294,0.43,0
2015-03-10,31.4,15.6,23.8,0.0,0,3.61,8.4,288,5.02,381.82,477.63,38.08,1.69,1014.2,0.27,0.279,0.294,0.43,0
2015-03-11,32.1,15.3,24.1,0.0,0,2.9,6.6,295,5.26,369.68,464.59,37.55,1.65,1015.2,0.264,0.279,0.293,0.429,0
2015-03-12,32.1,15.8,24.1,0.0,0,2.9,6.4,265,5.14,364.59,453.99,37.37,1.65,1013.8,0.259,0.279,0.292,0.429,0
2015-03-13,31.9,16.2,24.7,0.0,0,3.14,6.8,284,5.16,362.92,449.82,37.28,1.62,1013.0,0.254,0.279,0.292,0.428,0
2015-03-14,32.2,17.9,25.5,0.0,0,3.2,8.2,321,5.33,366.28,448.78,37.64,1.65,1014.0,0.25,0.279,0.291,0.428,0
2015-03-15,33.1,19.1,26.4,0.0,0,3.77,8.0,296,5.4,373.11,453.99,37.9,1.65,1014.4,0.247,0.279,0.291,0.427,0
2015-03-16,33.2,19.7,26.6,0.0,0,5.52,12.1,277,5.4,374.84,459.26,37.82,1.65,1014.4,0.245,0.279,0.291,0.426,0
2015-03-17,32.4,19.1,26.3,0.2,2,4.95,11.7,287,5.27,373.97,459.26,37.82,1.65,1011.0,0.244,0.279,0.29,0.426,0
2015-03-18,32.7,20.9,26.7,0.0,0,4.3,10.3,304,5.22,373.97,459.26,37.73,1.69,1010.7,0.244,0.279,0.29,0.425,0
2015-03-19,32.3,17.6,25.6,0.0,0,4.34,10.7,311,5.71,373.11,458.2,37.73,1.65,1012.6,0.243,0.279,0.289,0.425,0
2015-03-20,33.1,16.5,25.5,0.0,0,3.31,6.6,333,5.79,374.84,457.14,37.82,1.69,1013.2,0.242,0.279,0.289,0.424,0
2015-03-21,34.5,17.8,26.4,0.0,0,3.67,7.7,289,5.71,377.44,459.26,37.9,1.69,1011.5,0.241,0.278,0.289,0.424,0
2015-03-22,34.9,18.9,27.0,0.0,0,3.23,7.4,293,5.64,377.44,460.32,37.9,1.69,1010.0,0.24,0.278,0.288,0.423,0
2015-03-23,35.0,19.2,27.4,0.0,0,3.16,6.9,315,5.88,377.44,460.32,37.9,1.69,1009.1,0.24,0.278,0.288,0.423,0
2015-03-24,35.5,20.2,28.3,0.0,0,2.14,6.2,14,5.63,376.57,459.26,37.82,1.69,1010.4,0.24,0.278,0.287,0.422,0
2015-03-25,35.3,21.0,27.8,0.4,1,4.8,10.8,263,5.57,377.44,461.38,37.82,1.69,1013.1,0.241,0.278,0.287,0.421,0
2015-03-26,33.3,21.5,27.2,0.0,0,2.75,5.9,342,5.36,377.44,461.38,37.73,1.69,1015.1,0.24,0.278,0.287,0.421,0
2015-03-27,33.1,21.3,27.3,1.6,5,3.45,7.3,341,4.65,379.19,471.06,37.82,1.69,1014.2,0.24,0.278,0.286,0.42,0
2015-03-28,30.3,21.6,24.8,5.9,9,2.55,7.9,14,3.18,384.48,483.17,38.26,1.72,1012.8,0.263,0.278,0.286,0.42,0
2015-03-29,32.1,21.3,27.3,0.9,4,3.94,6.8,341,4.84,386.26,485.41,38.36,1.72,1011.3,0.276,0.278,0.286,0.42,0
2015-03-30,33.0,22.1,27.1,2.2,7,3.71,8.9,280,4.73,388.94,491.04,38.72,1.72,1010.6,0.275,0.278,0.286,0.419,0
2015-03-31,29.4,20.9,23.8,16.9,22,3.24,8.2,107,3.0,401.72,510.68,41.76,1.81,1010.3,0.357,0.279,0.286,0.419,0
2015-04-01,28.1,19.6,22.6,40.7,20,2.91,10.4,359,3.04,422.64,554.9,48.43,1.97,1010.0,0.444,0.326,0.286,0.419,0
2015-04-02,22.8,19.6,20.8,69.0,23,3.94,11.3,34,1.21,449.82,649.13,57.48,2.25,1007.5,0.478,0.472,0.292,0.419,0
2015-04-03,25.6,20.5,22.6,19.8,22,3.22,7.4,49,2.18,459.26,692.43,56.68,2.4,1006.0,0.479,0.49,0.323,0.419,0
2015-04-04,24.3,20.2,21.5,22.5,19,4.47,14.7,35,1.79,453.99,661.22,52.83,2.4,1006.3,0.475,0.49,0.353,0.418,0
2015-04-05,27.5,19.8,23.6,20.7,10,2.56,9.6,8,3.26,441.59,650.63,52.21,2.37,1008.5,0.465,0.479,0.37,0.418,0
2015-04-06,26.9,20.7,23.3,16.8,20,2.79,8.1,89,2.83,431.51,638.73,52.09,2.34,1009.6,0.497,0.478,0.376,0.418,0
2015-04-07,28.8,20.6,24.1,2.6,10,2.53,6.3,34,3.69,425.58,615.59,49.82,2.28,1010.4,0.483,0.478,0.379,0.418,0
2015-04-08,29.2,20.7,24.8,1.6,9,3.2,8.7,299,3.96,417.79,585.14,47.19,2.22,1010.0,0.464,0.465,0.38,0.418,0
2015-04-09,28.8,20.3,24.4,12.9,17,2.43,9.4,4,3.58,417.79,583.79,46.86,2.16,1009.4,0.482,0.461,0.381,0.418,0
2015-04-10,28.5,20.3,23.5,24.2,13,3.24,10.1,26,3.2,421.67,594.66,47.75,2.18,1010.5,0.434,0.483,0.412,0.418,0
2015-04-11,29.8,20.7,25.4,2.1,7,1.84,5.6,32,4.32,418.76,596.04,46.97,2.22,1011.8,0.423,0.458,0.417,0.418,0
2015-04-12,31.5,22.0,26.5,0.0,0,2.12,5.1,28,4.28,413.0,585.14,45.67,2.18,1013.4,0.413,0.444,0.416,0.418,0
2015-04-13,31.3,21.1,25.9,0.0,0,4.34,8.4,37,4.04,410.15,573.12,44.71,2.16,1012.7,0.401,0.433,0.415,0.418,0
2015-04-14,32.1,20.9,26.2,0.0,0,2.55,5.3,14,5.17,406.38,563.94,43.77,2.09,1011.4,0.383,0.42,0.414,0.418,0
2015-04-15,32.4,20.9,26.9,0.0,0,2.6,5.1,330,5.31,401.72,554.9,43.06,2.06,1011.6,0.365,0.408,0.412,0.418,0
2015-04-16,32.0,23.3,27.8,0.3,1,3.2,6.9,284,4.88,399.87,548.54,42.55,2.03,1011.2,0.349,0.397,0.409,0.417,0
2015-04-17,28.2,21.5,24.0,23.0,19,2.13,7.3,22,2.38,405.44,563.94,44.19,2.03,1008.7,0.456,0.405,0.408,0.417,0
2015-04-18,28.2,20.8,23.5,53.6,22,2.63,9.8,23,3.17,419.73,614.18,50.4,2.18,1007.9,0.482,0.486,0.415,0.417,0
2015-04-19,25.0,21.1,22.6,24.6,14,2.55,9.6,57,1.6,429.53,658.17,54.59,2.37,1010.8,0.449,0.488,0.463,0.418,0
2015-04-20,28.0,21.6,24.1,20.4,19,2.18,8.7,32,2.57,437.53,676.64,57.34,2.6,1010.4,0.479,0.481,0.466,0.418,0
2015-04-21,23.7,21.0,22.1,70.2,24,3.05,12.7,51,1.26,488.78,740.31,66.92,3.09,1007.7,0.482,0.497,0.5,0.422,0
2015-04-22,24.6,21.0,22.4,55.3,20,3.1,14.7,9,1.48,520.19,890.25,72.96,3.66,1008.1,0.474,0.473,0.513,0.438,0
2015-04-23,27.9,20.9,23.7,17.6,17,2.66,10.0,360,2.61,519.0,936.56,74.34,3.94,1010.0,0.462,0.457,0.511,0.45,0
2015-04-24,28.3,21.1,23.4,9.0,14,2.53,9.6,50,2.36,523.81,923.7,73.82,4.06,1012.1,0.483,0.486,0.505,0.453,0
2015-04-25,28.3,20.3,23.1,5.2,11,1.9,6.1,355,2.46,527.45,900.57,72.79,4.09,1012.8,0.496,0.488,0.502,0.455,0
2015-04-26,28.1,20.6,24.0,8.5,9,2.15,5.2,52,3.51,527.45,886.16,72.45,4.06,1012.1,0.489,0.494,0.499,0.456,0
2015-04-27,29.3,20.9,24.9,0.8,6,2.28,7.0,47,4.97,525.02,873.98,71.28,4.04,1011.1,0.473,0.487,0.497,0.458,0
2015-04-28,29.3,21.2,25.1,2.2,7,2.12,5.1,14,4.89,521.4,858.01,69.79,3.94,1009.7,0.454,0.472,0.494,0.458,0
2015-04-29,27.7,21.3,23.6,11.4,19,2.47,7.6,37,2.72,525.02,854.07,69.96,3.94,1009.5,0.478,0.466,0.491,0.459,0
2015-04-30,27.3,21.3,24.1,7.8,15,2.3,7.5,27,3.09,531.11,859.99,70.61,3.94,1010.2,0.491,0.478,0.489,0.46,0
2015-05-01,25.0,21.7,23.1,13.8,21,2.38,8.1,65,1.65,537.27,871.97,71.78,3.97,1009.3,0.492,0.496,0.491,0.46,0
2015-05-02,24.9,21.8,23.1,16.1,22,2.06,9.7,49,1.58,547.28,884.12,72.62,4.04,1009.5,0.48,0.492,0.505,0.462,0
2015-05-03,29.5,22.1,25.2,0.4,3,1.58,6.4,30,3.33,548.54,886.16,71.78,4.06,1009.2,0.472,0.483,0.505,0.465,0
2015-05-04,31.2,22.2,26.6,0.5,3,1.7,7.1,25,4.49,544.76,876.0,70.12,4.0,1009.0,0.454,0.47,0.5,0.467,0
2015-05-05,31.4,22.3,27.0,0.2,2,1.84,6.4,43,4.9,539.75,861.98,68.5,3.94,1007.3,0.442,0.458,0.496,0.468,0
2015-05-06,31.6,23.0,27.1,0.1,1,2.33,6.0,39,4.89,532.33,846.23,67.23,3.84,1006.7,0.428,0.447,0.492,0.468,0
2015-05-07,30.6,22.5,26.8,0.2,1,2.22,5.1,45,3.63,527.45,834.6,66.14,3.79,1007.7,0.414,0.439,0.488,0.469,0
2015-05-08,30.8,21.3,26.1,0.7,4,2.24,6.6,26,4.77,521.4,825.04,65.07,3.72,1007.5,0.4,0.43,0.484,0.469,0
2015-05-09,31.8,21.6,27.1,0.7,3,2.19,4.4,41,5.31,515.42,811.83,64.16,3.66,1006.0,0.382,0.421,0.479,0.469,0
2015-05-10,27.1,23.5,25.2,3.1,8,2.21,6.7,71,2.36,514.23,804.38,63.86,3.62,1007.2,0.385,0.416,0.476,0.469,0
2015-05-11,30.7,23.7,26.0,9.4,13,2.06,7.0,292,3.03,516.61,808.1,64.31,3.59,1008.4,0.414,0.414,0.474,0.469,0
2015-05-12,30.2,23.8,26.3,6.4,13,2.38,6.5,347,3.2,517.8,815.58,65.22,3.59,1007.8,0.433,0.414,0.471,0.469,0
2015-05-13,29.9,23.9,26.3,10.4,11,1.94,7.3,39,3.38,520.19,821.24,65.83,3.62,1007.6,0.46,0.42,0.469,0.469,0
2015-05-14,29.6,23.9,26.3,11.5,13,2.15,9.5,39,3.06,523.81,830.76,66.76,3.62,1008.2,0.466,0.426,0.467,0.469,0
2015-05-15,28.2,23.6,25.1,24.7,17,1.92,8.3,52,1.6,531.11,850.14,69.15,3.72,1008.7,0.48,0.489,0.469,0.469,0
2015-05-16,28.4,23.3,25.2,19.6,16,1.87,8.1,2,1.96,538.51,876.0,71.61,3.81,1006.8,0.455,0.487,0.485,0.469,0
2015-05-17,28.3,22.9,25.2,14.7,12,2.25,6.2,58,2.27,542.25,888.2,73.3,3.94,1006.0,0.449,0.485,0.5,0.47,0
2015-05-18,29.2,22.9,25.8,3.4,7,1.61,6.9,64,3.45,543.5,886.16,73.13,4.0,1005.9,0.482,0.476,0.498,0.472,0
2015-05-19,31.3,23.6,27.4,0.3,3,2.13,5.1,348,4.93,539.75,869.96,71.61,3.97,1003.7,0.456,0.466,0.495,0.472,0
2015-05-20,32.3,24.7,28.5,2.2,8,2.5,5.7,297,5.17,534.8,854.07,69.96,3.88,1002.8,0.435,0.453,0.491,0.473,0
2015-05-21,31.2,25.0,27.6,3.5,12,1.68,7.4,33,4.0,532.33,842.33,69.15,3.84,1003.0,0.437,0.445,0.488,0.473,0
2015-05-22,31.5,24.3,27.3,5.0,13,1.91,9.3,45,4.02,531.11,838.46,68.66,3.81,1002.6,0.464,0.443,0.485,0.473,0
2015-05-23,31.2,23.9,26.3,16.8,20,2.33,11.3,42,3.23,534.8,846.23,69.47,3.81,1002.7,0.49,0.46,0.482,0.474,0
2015-05-24,30.4,23.3,26.1,18.9,22,2.42,12.4,46,2.75,541.0,865.96,71.11,3.84,1003.9,0.468,0.488,0.495,0.474,0
2015-05-25,31.0,23.1,26.2,25.6,18,2.24,14.4,2,2.83,549.81,886.16,73.3,3.97,1004.5,0.466,0.473,0.511,0.48,0
2015-05-26,31.1,24.4,27.1,2.5,9,2.21,8.1,38,3.96,546.02,890.25,72.96,4.06,1006.1,0.475,0.46,0.506,0.484,0
2015-05-27,30.1,24.2,27.0,5.9,16,1.82,9.7,45,3.7,541.0,880.05,72.11,4.06,1005.7,0.474,0.457,0.501,0.485,0
2015-05-28,30.5,24.1,26.5,11.1,19,1.84,9.6,53,3.71,539.75,876.0,72.11,4.06,1005.1,0.487,0.465,0.497,0.486,0
2015-05-29,29.6,23.8,26.0,12.8,21,2.2,10.6,41,2.5,542.25,882.08,72.79,4.09,1006.4,0.502,0.498,0.499,0.486,0
2015-05-30,30.1,24.0,26.5,17.4,17,2.5,9.9,46,3.14,547.28,894.36,74.51,4.13,1006.7,0.49,0.501,0.504,0.487,0
2015-05-31,30.5,23.9,25.8,17.3,23,3.0,11.1,88,2.77,554.9,913.11,76.27,4.22,1004.8,0.478,0.489,0.512,0.491,0
2015-06-01,29.5,24.2,26.7,6.4,20,3.24,11.4,165,2.64,561.34,925.83,76.09,4.28,1005.3,0.486,0.478,0.511,0.496,1
2015-06-02,30.6,24.3,27.2,16.2,19,2.0,7.2,29,3.15,565.24,936.56,76.27,4.31,1006.3,0.474,0.484,0.505,0.501,1
2015-06-03,30.2,24.4,26.9,3.8,14,2.47,7.0,29,3.0,569.16,947.42,75.74,4.31,1006.8,0.487,0.479,0.498,0.505,1
2015-06-04,32.3,25.1,28.6,1.8,10,1.96,6.8,301,4.49,569.16,947.42,74.34,4.28,1006.3,0.469,0.47,0.493,0.505,1
2015-06-05,32.2,25.6,28.4,4.7,19,2.6,8.4,268,4.47,567.85,938.72,73.3,4.22,1005.1,0.472,0.462,0.488,0.504,1
2015-06-06,31.8,25.3,27.7,9.8,19,3.14,8.4,207,3.62,567.85,934.41,72.62,4.19,1004.3,0.484,0.483,0.485,0.504,1
2015-06-07,30.6,25.1,27.2,6.4,19,4.0,10.5,189,3.29,565.24,934.41,72.11,4.19,1004.6,0.486,0.486,0.493,0.504,1
2015-06-08,31.4,24.6,27.1,10.9,19,2.65,10.9,174,3.34,565.24,936.56,71.95,4.15,1004.2,0.485,0.492,0.494,0.505,1
2015-06-09,30.8,24.6,26.7,11.5,19,2.48,10.7,145,2.86,569.16,943.06,72.28,4.19,1003.5,0.5,0.478,0.499,0.507,1
2015-06-10,27.2,24.5,25.7,23.0,19,2.55,9.7,60,1.29,579.76,967.28,74.68,4.28,1004.6,0.493,0.488,0.506,0.509,1
2015-06-11,26.8,24.2,25.3,63.5,24,2.62,9.7,100,1.23,609.94,1050.96,88.13,4.78,1004.5,0.487,0.488,0.498,0.514,1
2015-06-12,28.7,24.3,25.8,27.2,21,2.36,12.2,160,2.03,646.14,1149.8,97.63,5.37,1004.0,0.476,0.491,0.498,0.517,1
2015-06-13,27.4,23.9,25.1,24.9,24,4.18,8.7,163,1.43,682.91,1209.6,101.33,5.78,1004.0,0.481,0.491,0.473,0.518,1
2015-06-14,25.6,23.8,24.8,11.3,23,1.9,5.5,60,1.12,706.95,1240.65,101.33,6.0,1003.5,0.475,0.49,0.478,0.516,1
2015-06-15,27.8,23.9,25.3,16.8,22,2.48,6.5,129,1.64,721.77,1252.14,102.04,6.06,1003.4,0.488,0.496,0.481,0.515,1
2015-06-16,29.5,24.2,26.3,4.1,16,2.72,7.8,149,2.94,726.78,1255.03,101.33,6.1,1003.8,0.499,0.493,0.483,0.514,1
2015-06-17,30.0,24.5,27.0,1.3,8,1.3,6.2,23,3.48,733.51,1246.38,99.93,6.0,1002.9,0.489,0.491,0.477,0.513,1
2015-06-18,30.8,24.9,27.8,0.2,1,1.71,4.3,70,3.74,733.51,1234.95,97.63,5.87,1002.4,0.472,0.481,0.47,0.513,1
2015-06-19,32.4,25.9,28.7,0.5,3,1.8,5.0,62,4.08,733.51,1223.62,95.83,5.75,1001.8,0.456,0.47,0.463,0.512,1
2015-06-20,33.1,25.8,28.8,15.7,20,2.06,7.7,63,4.19,754.09,1226.44,97.86,5.75,1002.1,0.473,0.469,0.456,0.511,1
2015-06-21,32.4,25.7,28.0,18.0,14,2.02,8.4,49,3.67,809.96,1278.38,100.86,5.9,1002.2,0.478,0.498,0.464,0.51,1
2015-06-22,30.1,25.4,27.0,30.6,22,2.97,9.5,93,2.11,865.96,1360.44,106.15,6.13,1000.2,0.493,0.5,0.472,0.509,1
2015-06-23,27.6,25.3,26.0,34.9,24,2.71,10.4,101,1.08,927.97,1454.46,114.35,6.43,998.8,0.475,0.49,0.511,0.511,1
2015-06-24,28.6,25.4,26.7,14.1,20,3.31,10.1,76,1.48,980.75,1537.15,120.62,6.78,997.9,0.478,0.465,0.501,0.516,1
