latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.800003,92.350006,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2015-10-12,171.58
2015-10-13,170.00
2015-10-14,168.04
2015-10-15,166.11
2015-10-16,163.82
2015-10-17,160.81
2015-10-18,157.49
2015-10-19,153.88
2015-10-20,150.71
2015-10-21,147.59
2015-10-22,144.55
2015-10-23,141.56
2015-10-24,138.64
2015-10-25,136.09
2015-10-26,133.28
2015-10-27,130.83
2015-10-28,128.12
2015-10-29,125.47
2015-10-30,123.17
2015-10-31,121.46
2015-11-01,119.50
2015-11-02,117.58
2015-11-03,115.41
2015-11-04,113.29
2015-11-05,111.20
2015-11-06,109.15
2015-11-07,106.89
2015-11-08,104.93
2015-11-09,102.99
2015-11-10,101.09
2015-11-11,99.23
2015-11-12,97.63
2015-11-13,95.83
2015-11-14,94.06
2015-11-15,92.54
2015-11-16,90.83
2015-11-17,89.36
2015-11-18,87.72
2015-11-19,86.30
2015-11-20,84.70
2015-11-21,83.33
2015-11-22,81.99
2015-11-23,80.66
2015-11-24,79.35
2015-11-25,78.07
2015-11-26,76.80
2015-11-27,75.56
2015-11-28,74.34
2015-11-29,73.13
2015-11-30,72.11
2015-12-01,70.78
2015-12-02,69.63
2015-12-03,69.15
2015-12-04,68.34
2015-12-05,67.39
2015-12-06,66.45
2015-12-07,65.37
2015-12-08,64.46
2015-12-09,63.71
2015-12-10,62.83
2015-12-11,62.10
2015-12-12,61.37
2015-12-13,60.80
2015-12-14,60.09
2015-12-15,59.53
2015-12-16,58.84
2015-12-17,58.16
2015-12-18,57.61
2015-12-19,57.08
2015-12-20,56.54
2015-12-21,56.02
2015-12-22,55.62
2015-12-23,55.10
2015-12-24,54.72
2015-12-25,54.34
2015-12-26,53.95
2015-12-27,53.58
2015-12-28,53.20
2015-12-29,52.83
2015-12-30,52.46
2015-12-31,52.21
2016-01-01,51.84
2016-01-02,51.60
2016-01-03,51.24
2016-01-04,51.00
2016-01-05,50.64
2016-01-06,50.40
2016-01-07,50.05
2016-01-08,49.82
2016-01-09,50.40
2016-01-10,50.29
2016-01-11,49.82
2016-01-12,49.35
2016-01-13,49.00
2016-01-14,48.77
2016-01-15,48.43
2016-01-16,48.20
2016-01-17,47.98
2016-01-18,47.64
2016-01-19,47.42
2016-01-20,47.64
2016-01-21,47.64
2016-01-22,47.31
2016-01-23,47.08
2016-01-24,46.86
2016-01-25,46.64
2016-01-26,46.42
2016-01-27,46.21
2016-01-28,45.99
2016-01-29,45.88
2016-01-30,45.77
2016-01-31,45.67
2016-02-01,45.67
2016-02-02,45.67
2016-02-03,45.45
2016-02-04,45.34
2016-02-05,45.13
2016-02-06,45.03
2016-02-07,44.50
2016-02-08,44.08
2016-02-09,43.98
2016-02-10,43.87
2016-02-11,43.87
2016-02-12,44.39
2016-02-13,44.50
2016-02-14,44.19
2016-02-15,43.87
2016-02-16,43.67
2016-02-17,43.57
2016-02-18,43.36
2016-02-19,43.26
2016-02-20,43.16
2016-02-21,43.67
2016-02-22,43.06
2016-02-23,42.85
2016-02-24,46.75
2016-02-25,47.87
2016-02-26,45.99
2016-02-27,44.71
2016-02-28,43.87
2016-02-29,43.36
2016-03-01,42.85
2016-03-02,42.55
2016-03-03,42.15
2016-03-04,42.05
2016-03-05,41.95
2016-03-06,41.76
2016-03-07,41.56
2016-03-08,41.46
2016-03-09,40.88
2016-03-10,40.50
2016-03-11,40.40
2016-03-12,40.30
2016-03-13,40.59
2016-03-14,40.78
2016-03-15,40.59
2016-03-16,40.69
2016-03-17,40.59
2016-03-18,40.40
2016-03-19,43.16
2016-03-20,44.19
2016-03-21,45.88
2016-03-22,46.21
2016-03-23,46.42
2016-03-24,45.45
2016-03-25,44.08
2016-03-26,43.16
2016-03-27,43.06
2016-03-28,49.93
2016-03-29,55.49
2016-03-30,56.02
2016-03-31,55.10
2016-04-01,53.95
2016-04-02,52.58
2016-04-03,53.70
2016-04-04,60.09
2016-04-05,65.53
2016-04-06,66.61
2016-04-07,65.37
2016-04-08,63.71
2016-04-09,62.83
2016-04-10,61.95
2016-04-11,60.94
2016-04-12,60.09
2016-04-13,61.52
2016-04-14,67.55
2016-04-15,75.21
2016-04-16,82.37
2016-04-17,91.90
2016-04-18,102.99
2016-04-19,110.94
2016-04-20,111.72
2016-04-21,115.68
2016-04-22,128.12
2016-04-23,214.77
2016-04-24,237.78
2016-04-25,230.74
2016-04-26,217.78
2016-04-27,205.06
2016-04-28,195.34
2016-04-29,187.36
2016-04-30,182.23
2016-05-01,181.81
2016-05-02,182.23
2016-05-03,181.39
2016-05-04,179.72
2016-05-05,176.42
2016-05-06,172.38
2016-05-07,168.43
2016-05-08,163.82
2016-05-09,160.06
2016-05-10,156.40
2016-05-11,152.82
2016-05-12,150.01
2016-05-13,152.82
2016-05-14,154.24
2016-05-15,154.96
2016-05-16,154.24
2016-05-17,163.82
2016-05-18,171.19
2016-05-19,172.78
2016-05-20,176.42
2016-05-21,195.34
2016-05-22,207.93
2016-05-23,208.89
2016-05-24,205.06
2016-05-25,209.86
2016-05-26,211.32
2016-05-27,207.93
2016-05-28,204.12
2016-05-29,201.77
2016-05-30,198.99
2016-05-31,195.79
2016-06-01,192.64
2016-06-02,189.11
2016-06-03,185.21
2016-06-04,183.08
2016-06-05,181.81
2016-06-06,182.23
2016-06-07,180.97
2016-06-08,179.30
2016-06-09,178.89
2016-06-10,182.23
2016-06-11,190.43
2016-06-12,210.84
2016-06-13,254.27
2016-06-14,259.62
2016-06-15,250.19
2016-06-16,241.66
2016-06-17,236.68
2016-06-18,232.35
2016-06-19,228.09
2016-06-20,222.87
2016-06-21,219.29
2016-06-22,219.29
2016-06-23,219.29
2016-06-24,217.27
2016-06-25,214.28
2016-06-26,214.77
2016-06-27,216.77
2016-06-28,214.28
2016-06-29,210.35
2016-06-30,206.49
2016-07-01,204.12
2016-07-02,205.06
2016-07-03,206.97
2016-07-04,212.30
2016-07-05,217.27
2016-07-06,217.78
2016-07-07,217.78
2016-07-08,224.94
2016-07-09,227.03
2016-07-10,223.91
2016-07-11,219.80
2016-07-12,215.77
2016-07-13,211.81
2016-07-14,207.93
2016-07-15,204.59
2016-07-16,202.70
2016-07-17,201.77
2016-07-18,199.91
2016-07-19,199.91
2016-07-20,198.53
2016-07-21,195.79
2016-07-22,192.64
2016-07-23,192.64
2016-07-24,193.54
2016-07-25,192.64
2016-07-26,189.55
2016-07-27,186.50
2016-07-28,183.50
2016-07-29,182.65
2016-07-30,182.23
2016-07-31,180.55
2016-08-01,178.89
2016-08-02,177.24
2016-08-03,176.83
2016-08-04,176.83
2016-08-05,177.65
2016-08-06,177.24
2016-08-07,178.47
2016-08-08,178.89
2016-08-09,177.65
2016-08-10,176.42
2016-08-11,175.20
2016-08-12,172.78
2016-08-13,171.58
2016-08-14,170.79
2016-08-15,170.00
2016-08-16,168.43
2016-08-17,166.88
2016-08-18,164.58
2016-08-19,161.55
2016-08-20,159.32
2016-08-21,160.44
2016-08-22,160.44
2016-08-23,157.49
2016-08-24,153.88
2016-08-25,154.96
2016-08-26,156.40
2016-08-27,156.76
2016-08-28,155.68
2016-08-29,153.88
2016-08-30,153.53
2016-08-31,152.82
2016-09-01,153.17
2016-09-02,152.82
2016-09-03,150.36
2016-09-04,148.28
2016-09-05,147.59
2016-09-06,147.94
2016-09-07,146.57
2016-09-08,143.54
2016-09-09,140.58
2016-09-10,138.32
2016-09-11,136.72
2016-09-12,137.68
2016-09-13,140.25
2016-09-14,140.58
2016-09-15,139.60
2016-09-16,140.58
2016-09-17,142.22
2016-09-18,143.54
2016-09-19,146.23
2016-09-20,148.62
2016-09-21,151.05
2016-09-22,152.46
2016-09-23,153.17
2016-09-24,153.53
2016-09-25,153.88
2016-09-26,154.24
2016-09-27,153.53
2016-09-28,153.53
2016-09-29,154.24
2016-09-30,153.17
2016-10-01,151.76
2016-10-02,150.36
2016-10-03,150.71
2016-10-04,151.05
2016-10-05,153.17
2016-10-06,155.68
2016-10-07,157.49
2016-10-08,158.59
2016-10-09,159.32
2016-10-10,158.59
2016-10-11,156.40
2016-10-12,158.59
2016-10-13,158.59
2016-10-14,155.68
2016-10-15,152.82
2016-10-16,150.01
2016-10-17,146.57
2016-10-18,143.54
2016-10-19,140.58
2016-10-20,137.68
2016-10-21,135.14
2016-10-22,132.35
2016-10-23,129.92
2016-10-24,127.53
2016-10-25,125.47
2016-10-26,123.74
2016-10-27,123.17
2016-10-28,122.59
2016-10-29,121.46
2016-10-30,120.06
2016-10-31,118.12
2016-11-01,115.95
2016-11-02,113.82
2016-11-03,113.02
2016-11-04,113.29
2016-11-05,117.03
2016-11-06,194.43
2016-11-07,232.35
2016-11-08,204.12
2016-11-09,185.64
2016-11-10,173.18
2016-11-11,164.58
2016-11-12,158.22
2016-11-13,152.82
2016-11-14,147.94
2016-11-15,143.88
2016-11-16,139.93
2016-11-17,136.40
2016-11-18,133.28
2016-11-19,130.22
2016-11-20,127.53
2016-11-21,124.89
2016-11-22,122.31
2016-11-23,119.78
2016-11-24,117.58
2016-11-25,115.14
2016-11-26,113.02
2016-11-27,110.94
2016-11-28,108.90
2016-11-29,106.89
2016-11-30,105.17
2016-12-01,103.23
2016-12-02,101.33
2016-12-03,99.69
2016-12-04,97.86
2016-12-05,96.27
2016-12-06,94.50
2016-12-07,92.97
2016-12-08,91.47
