latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.700005,92.45001,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2015-10-12,8.66
2015-10-13,8.51
2015-10-14,8.33
2015-10-15,8.18
2015-10-16,8.04
2015-10-17,7.91
2015-10-18,7.75
2015-10-19,7.61
2015-10-20,7.45
2015-10-21,7.32
2015-10-22,7.17
2015-10-23,7.04
2015-10-24,6.91
2015-10-25,6.78
2015-10-26,6.66
2015-10-27,6.53
2015-10-28,6.43
2015-10-29,6.31
2015-10-30,6.21
2015-10-31,6.10
2015-11-01,6.01
2015-11-02,5.90
2015-11-03,5.81
2015-11-04,5.71
2015-11-05,5.62
2015-11-06,5.52
2015-11-07,5.43
2015-11-08,5.34
2015-11-09,5.25
2015-11-10,5.17
2015-11-11,5.08
2015-11-12,5.01
2015-11-13,4.93
2015-11-14,4.85
2015-11-15,4.77
2015-11-16,4.70
2015-11-17,4.64
2015-11-18,4.57
2015-11-19,4.50
2015-11-20,4.43
2015-11-21,4.37
2015-11-22,4.31
2015-11-23,4.25
2015-11-24,4.19
2015-11-25,4.13
2015-11-26,4.07
2015-11-27,4.01
2015-11-28,3.97
2015-11-29,3.91
2015-11-30,3.85
2015-12-01,3.81
2015-12-02,3.75
2015-12-03,3.71
2015-12-04,3.68
2015-12-05,3.63
2015-12-06,3.59
2015-12-07,3.55
2015-12-08,3.50
2015-12-09,3.46
2015-12-10,3.43
2015-12-11,3.39
2015-12-12,3.35
2015-12-13,3.32
2015-12-14,3.28
2015-12-15,3.25
2015-12-16,3.21
2015-12-17,3.17
2015-12-18,3.13
2015-12-19,3.10
2015-12-20,3.07
2015-12-21,3.04
2015-12-22,3.01
2015-12-23,2.98
2015-12-24,2.94
2015-12-25,2.92
2015-12-26,2.89
2015-12-27,2.86
2015-12-28,2.84
2015-12-29,2.81
2015-12-30,2.78
2015-12-31,2.76
2016-01-01,2.73
2016-01-02,2.71
2016-01-03,2.69
2016-01-04,2.66
2016-01-05,2.64
2016-01-06,2.61
2016-01-07,2.60
2016-01-08,2.58
2016-01-09,2.56
2016-01-10,2.55
2016-01-11,2.53
2016-01-12,2.50
2016-01-13,2.48
2016-01-14,2.45
2016-01-15,2.44
2016-01-16,2.42
2016-01-17,2.40
2016-01-18,2.39
2016-01-19,2.37
2016-01-20,2.36
2016-01-21,2.36
2016-01-22,2.34
2016-01-23,2.33
2016-01-24,2.31
2016-01-25,2.30
2016-01-26,2.28
2016-01-27,2.27
2016-01-28,2.25
2016-01-29,2.24
2016-01-30,2.22
2016-01-31,2.22
2016-02-01,2.22
2016-02-02,2.21
2016-02-03,2.18
2016-02-04,2.17
2016-02-05,2.17
2016-02-06,2.16
